person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
21,9600,OWN,5.0,EDUCATION,B,17.64437259265911,4.980182550190449,0,0.07963535856508341,N,2
25,9600,MORTGAGE,1.0,MEDICAL,C,28.626515165020447,5.462100014976926,1,0.2125898815438564,N,3
23,65500,RENT,4.0,MEDICAL,C,46.89384689884585,6.073489853364605,1,0.20789531648706788,N,2
24,54400,RENT,8.0,MEDICAL,C,46.89384689884585,5.830519424335643,1,0.21031664164683242,Y,4
21,9900,OWN,2.0,VENTURE,A,22.98886341392129,3.713264082490948,1,0.14915050329746676,N,2
26,77100,RENT,8.0,EDUCATION,B,46.89384689884585,5.3397750077070585,1,0.19647625278770423,N,3
24,78956,RENT,5.0,MEDICAL,B,46.89384689884585,4.971533367663319,1,0.1948235461835074,N,4
24,83000,RENT,8.0,PERSONAL,A,46.89384689884585,4.3019985976324175,1,0.19134445790135002,N,2
21,10000,OWN,6.0,VENTURE,D,20.239165830813377,5.950396456610124,1,0.11275172017356352,N,3
22,85000,RENT,6.0,VENTURE,B,46.89384689884585,4.754701019592947,1,0.18951317300823922,N,4
21,10000,OWN,2.0,HOMEIMPROVEMENT,A,27.089219045444224,4.215285327342839,1,0.19647625278770423,N,2
23,95000,RENT,2.0,VENTURE,A,46.89384689884585,3.974574294446668,1,0.18151332289601382,N,2
26,108160,RENT,4.0,EDUCATION,E,46.89384689884585,6.826390321658231,1,0.16975953713036135,N,4
23,115000,RENT,2.0,EDUCATION,A,46.89384689884585,3.974574294446668,0,0.1644183285980917,N,4
23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,45.0448902524545,4.8375500854341364,0,0.052136339569364726,N,3
23,120000,RENT,0.0,EDUCATION,A,46.89384689884585,3.974574294446668,0,0.16159358557910303,N,4
23,92111,RENT,7.0,MEDICAL,F,46.89384689884585,7.241067062287074,1,0.16975953713036135,N,4
23,113000,RENT,8.0,DEBTCONSOLIDATION,D,46.89384689884585,6.79439133926478,1,0.1671387780366712,N,4
24,10800,MORTGAGE,8.0,EDUCATION,B,20.76795341600809,4.936829374622175,1,0.11275172017356352,N,2
25,162500,RENT,2.0,VENTURE,A,46.89384689884585,3.8350506231702495,0,0.13845665072713714,N,4
25,137000,RENT,9.0,PERSONAL,E,46.82388322377354,6.448749062022832,0,0.14915050329746676,Y,2
22,65000,RENT,4.0,EDUCATION,D,46.540931295183626,6.639621908702325,1,0.20662548407889342,N,4
24,10980,OWN,0.0,PERSONAL,A,19.8653080322652,3.7657716853003445,0,0.10265113379417039,N,3
22,80000,RENT,3.0,PERSONAL,D,46.523079290148225,5.899606094473986,1,0.19134445790135002,Y,4
24,67746,RENT,8.0,HOMEIMPROVEMENT,C,46.18002837618347,5.410696642438436,1,0.20256019775002299,N,3
